Product URL,Title,Description,Product Type,Tags,Categories,Visible,Hosted Image URLs,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Price,Sale Price,On Sale,Weight,Length,Width,Height,Stock
"Jordan-4-Retro-Cal-/-Marquette-PE","Jordan 4 Retro Cal / Marquette PE","Jordan 4 Retro Cal / Marquette PE<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13497246942&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-4-retro-cal-marquette-pe"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 4, Retro, Cal, /, Marquette, PE","men","TRUE","https://stockx.imgix.net/Air-Jordan-4-Retro-Cal-Marquette-PE.png",,,,,,,,"22900.00",,,,,,,"1"
"Jordan-11-Retro-Premium-Derek-Jeter","Jordan 11 Retro Premium Derek Jeter","Jordan 11 Retro Premium Derek Jeter<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.12679110076&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-11-retro-premium-derek-jeter"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 11, Retro, Premium, Derek, Jeter","men","TRUE","https://stockx.imgix.net/Air-Jordan-11-Retro-Premium-Derek-Jeter.png",,,,,,,,"18500.00",,,,,,,"1"
"Nike-Dunk-SB-Low-Paris","Nike Dunk SB Low Paris","Nike Dunk SB Low Paris<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13443971949&type=15&murl=https%3A%2F%2Fstockx.com%2Fnike-dunk-sb-low-paris"" target=""_blank"">StockX</a></h3>","Physical","Nike, Dunk, SB, Low, Paris","men","TRUE","https://stockx.imgix.net/Nike-Dunk-SB-Low-Paris.jpg",,,,,,,,"17000.00",,,,,,,"1"
"Jordan-Kobe-PE-Pack-3/8","Jordan Kobe PE Pack 3/8","Jordan Kobe PE Pack 3/8<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.12736675926&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-kobe-pe-pack-retro-8-retro-3"" target=""_blank"">StockX</a></h3>","Physical","Jordan, Kobe, PE, Pack, 3/8","men","TRUE","https://stockx.imgix.net/Air-Jordan-Kobe-PE-Pack-Retro-8-Retro-3.png",,,,,,,,"16000.00",,,,,,,"1"
"Jordan-4-Retro-Travis-Scott-Cactus-Jack-F-&-F","Jordan 4 Retro Travis Scott Cactus Jack (F & F)","Friends and Family release of the Travis Scott Cactus Jack Jordan 4, with Nike Air replacing the Jumpman found on the heel of the general release.<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13398360118&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-4-retro-travis-scott-cactus-jack-friends-and-family"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 4, Retro, Travis, Scott, Cactus, Jack, F, &, F","men","TRUE","https://stockx.imgix.net/Air-Jordan-4-Retro-Travis-Scott-Cactus-Jack-Friends-and-Family-2.jpg",,,,,,,,"15000.00",,,,,,,"1"
"Jordan-1-OG-Chicago-1985","Jordan 1 OG Chicago (1985)","Jordan 1 OG Chicago (1985)<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13131579178&type=15&murl=https%3A%2F%2Fstockx.com%2Fjordan-1-og-chicago-1985"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 1, OG, Chicago, 1985","men","TRUE","https://stockx.imgix.net/Air-Jordan-1-OG-Chicago-1985.jpg",,,,,,,,"15000.00",,,,,,,"1"
"adidas-NMD-Hu-Pharrell-Respira-F-&-F","adidas NMD Hu Pharrell Respira (F & F)","adidas NMD Hu Pharrell Respira (F & F)<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13528939603&type=15&murl=https%3A%2F%2Fstockx.com%2Fadidas%2520nmd-hu-pharrell-respira-ff"" target=""_blank"">StockX</a></h3>","Physical","adidas, NMD, Hu, Pharrell, Respira, F, &, F","men","TRUE","https://stockx.imgix.net/adidas%20NMD-Hu-Pharrell-Respira-FF.png",,,,,,,,"15000.00",,,,,,,"1"
"Jordan-4-Retro-Eminem-Carhartt","Jordan 4 Retro Eminem Carhartt","Jordan 4 Retro Eminem Carhartt<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.12679036488&type=15&murl=https%3A%2F%2Fstockx.com%2Fjordan-4-retro-eminem-carhartt"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 4, Retro, Eminem, Carhartt","men","TRUE","https://stockx.imgix.net/Air-Jordan-4-Retro-Eminem-Carhartt.jpg",,,,,,,,"14000.00",,,,,,,"1"
"Nike-Dunk-SB-Low-Staple-NYC-Pigeon","Nike Dunk SB Low Staple ""NYC Pigeon""","In the list of craziest sneaker releases the Jeff Staple designed Nike SB Dunk Low NYC Pigeon is near the top. When the Pigeon Dunks released back in 2005, word spread and lines formed outside of Jeff Staple's Lower East Side shop, Reed Space. By the time release day rolled around the crowd had grown to a size that New York City police had to be called to keep things in order and make sure those who purchased could get home safely. All the attention landed the Pigeon Dunk release on the cover of the New York Daily News paper the next day. With only 150 pairs produced, the Pigeon SB Dunk is one of the most popular Nike SB releases of all time and even without the exclusivity, the colorway is one of the best. Jeff Staple opted to use the most commonly found bird in the city of NYC for inspiration, the Dunk Low is officially colored as Medium Grey/White-Dark Grey, but it's the combination of grey on the upper, with white Swoosh, orange foot-like outsole and the stitched in pigeon on the heel that make this colorway one that every sneaker enthusiast would like to get their hands on. Not only did the Nike SB Dunk Low NYC Pigeon help bring energy to Nike Skateboarding back in 2005, it started along line of successful pigeon inspired sneakers from NYC's Jeff Staple.<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13209506050&type=15&murl=https%3A%2F%2Fstockx.com%2Fnike-dunk-sb-low-staple-nyc-pigeon"" target=""_blank"">StockX</a></h3>","Physical","Nike, Dunk, SB, Low, Staple, NYC, Pigeon","men","TRUE","https://stockx.imgix.net/Nike-Dunk-SB-Low-Staple-NYC-Pigeon.jpg",,,,,,,,"11500.00",,,,,,,"1"
"Nike-Dunk-Low-Teen-Wolf","Nike Dunk Low Teen Wolf","Nike Dunk Low Teen Wolf<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13221133862&type=15&murl=https%3A%2F%2Fstockx.com%2Fnike-dunk-low-teen-wolf"" target=""_blank"">StockX</a></h3>","Physical","Nike, Dunk, Low, Teen, Wolf","men","TRUE","https://stockx.imgix.net/Nike-Dunk-Low-Teen-Wolf.png",,,,,,,,"10000.00",,,,,,,"1"
